FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,IS_DELAYED,DAY_OF_WEEK,MONTH,YEAR,DEP_HOUR,DEP_MINUTE,AIRLINE_NUM,MAJOR_ORIGIN,MAJOR_DEST,DISTANCE_CAT
2021-07-12T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1957,DFW,"Dallas/Fort Worth, TX",SAT,"San Antonio, TX",1030,1035.0,5.0,27.0,1102.0,1200.0,4.0,1138,1204.0,26.0,0.0,B,0.0,68.0,89.0,58.0,247.0,5.0,0.0,21.0,0.0,0.0,1,0,7,2021,10,30,4,1,0,0
2021-01-23T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,6207,SLC,"Salt Lake City, UT",LAS,"Las Vegas, NV",1010,1005.0,-5.0,13.0,1018.0,1024.0,3.0,1035,1027.0,-8.0,0.0,B,0.0,85.0,82.0,66.0,368.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,1,2021,10,10,3,1,1,0
2019-01-26T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,726,CLT,"Charlotte, NC",MDT,"Harrisburg, PA",1140,1135.0,-5.0,26.0,1201.0,1259.0,7.0,1310,1306.0,-4.0,0.0,B,0.0,90.0,91.0,58.0,413.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,1,2019,11,40,4,1,0,0
2021-05-04T00:00:00.000000000Z,JetBlue Airways,JetBlue Airways: B6,B6,20409,2751,BOS,"Boston, MA",MCO,"Orlando, FL",800,751.0,-9.0,13.0,804.0,1035.0,10.0,1114,1045.0,-29.0,0.0,B,0.0,194.0,174.0,151.0,1121.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,5,2021,8,0,7,1,1,2
2022-01-10T00:00:00.000000000Z,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5855,MAF,"Midland/Odessa, TX",PHX,"Phoenix, AZ",625,617.0,-8.0,9.0,626.0,657.0,3.0,723,700.0,-23.0,0.0,B,0.0,118.0,103.0,91.0,581.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,1,2022,6,25,15,0,1,1
2022-10-06T00:00:00.000000000Z,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,675,LAS,"Las Vegas, NV",SEA,"Seattle, WA",2035,2031.0,-4.0,14.0,2045.0,2243.0,9.0,2326,2252.0,-34.0,0.0,B,0.0,171.0,141.0,118.0,867.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,10,2022,20,35,6,1,1,1
2020-01-06T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1291,RDU,"Raleigh/Durham, NC",TPA,"Tampa, FL",600,555.0,-5.0,14.0,609.0,733.0,5.0,750,738.0,-12.0,0.0,B,0.0,110.0,103.0,84.0,587.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,1,2020,6,0,3,0,1,1
2020-12-25T00:00:00.000000000Z,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,981,CLT,"Charlotte, NC",FLL,"Fort Lauderdale, FL",1833,1831.0,-2.0,12.0,1843.0,2026.0,11.0,2043,2037.0,-6.0,0.0,B,0.0,130.0,126.0,103.0,632.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,12,2020,18,33,2,1,1,1
2019-08-16T00:00:00.000000000Z,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,2998,DTW,"Detroit, MI",ORD,"Chicago, IL",1030,1041.0,11.0,16.0,1057.0,1052.0,17.0,1054,1109.0,15.0,0.0,B,0.0,84.0,88.0,55.0,235.0,1.0,0.0,4.0,0.0,10.0,0,4,8,2019,10,30,11,1,1,0
2021-11-21T00:00:00.000000000Z,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5766,PHX,"Phoenix, AZ",IAH,"Houston, TX",940,1102.0,82.0,17.0,1119.0,1433.0,10.0,1314,1443.0,89.0,0.0,B,0.0,154.0,161.0,134.0,1009.0,3.0,0.0,7.0,0.0,79.0,1,6,11,2021,9,40,15,1,1,2
2020-09-12T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2529,ATL,"Atlanta, GA",IND,"Indianapolis, IN",1754,1750.0,-4.0,12.0,1802.0,1904.0,6.0,1920,1910.0,-10.0,0.0,B,0.0,86.0,80.0,62.0,432.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,9,2020,17,54,1,1,0,0
2023-06-18T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1321,MCO,"Orlando, FL",DTW,"Detroit, MI",605,601.0,-4.0,11.0,612.0,822.0,15.0,846,837.0,-9.0,0.0,B,0.0,161.0,156.0,130.0,957.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,6,6,2023,6,5,1,1,1,1
2023-04-22T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2638,ORF,"Norfolk, VA",DFW,"Dallas/Fort Worth, TX",1707,1706.0,-1.0,15.0,1721.0,1920.0,13.0,1941,1933.0,-8.0,0.0,B,0.0,214.0,207.0,179.0,1212.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,5,4,2023,17,7,4,0,1,2
